,hash,ids,type
37,dd623be823dc0d98d3a08749f4c1256c2a57f1777647afe54f9d762044e7f9e2,"initOne(
        string _name,
        string _symbol,
        uint8 _decimals,
        uint256 _icoDuration,
        uint256 _auctionDuration,
        address _artist,
        address _trivial,
        bytes32 _descriptionHash
    )
    onlyInState(State.BeforeInitOne)
    ",type-3-2c
38,ff994ee2e546a6b20a68e4763d6f63936dcbcb636c84241598a5b2f8e54caf95,"register(address key, SSPType sspType, uint16 publisherFee, address recordOwner) onlyDaoOrOwner ",type-3-2c
39,ef6e2db31eaf6f3c6112b51dd7c1c01e1921f301131bce9f86b22f3c6cca22df,"getAllSSP() constant returns(address[] addresses, SSPType[] sspTypes, uint16[] publisherFees, uint256[2][] karmas, address[] recordOwners) ",type-3-2c
40,b9f987b3dd09377000e287ecbd101337763e4c2c9165ee0f9efd6029998553f4,"transferFrom(address _from, address _to, uint256 _value) public returns (bool success) ",type-3-2c
41,7ad87a52a537dd9015d1af19a3a2d1f8ab9a4428606a5f1d0a9fee782256a0fe,"transfer(address _to, uint256 _value) public ",type-3-2c
42,8691a7808de47d4fddf0921f20b9a8559c71d609fc84623f667e570161f26dc8,"executeTransaction(uint transactionId)
        public
        notExecuted(transactionId)
    ",type-3-2c
43,602efb701bdf30f540980e3b62a93dd27f350e1570e181cec0ff0e23b8593cac,"getCoinAge(address _address, uint _now) internal returns (uint _coinAge) ",type-3-2c
44,32932f653412963db961e7ccbebace26f8517fedede39f1fe4e31c15fc7dfcba,"purchaseCountry(uint256 _tokenId) public 
    payable
    isNotContract(msg.sender)
  ",type-3-2c
45,9100feb0d9b72681fc73ac1b65ef55d7f766a434894bce2e6fe6b9bb294a91cb,"removeTokenFrom(address _from, uint256 _tokenId) internal ",type-3-2c
46,4dbf3eeffea3dcd80934fcba317b6489f0ba6e84e26e4e58ab6137dfd065db7b,getTombByOwner(address _owner) external view returns(uint[]) ,type-3-2c
47,9735c7578d38ad35446b5fe3df690f4db563100a4be3a9ff5e8755f06e05af86,getTokens() payable canDistr onlyWhitelist public ,type-3-2c
48,4f5c582744a62fa92ae519f20e0ec571f6198ddd7e648ceabe615d865149a141,HEDGECRYPTOFUND() ,type-3-2c
49,03c5935931ca5ac9983981f95ed181c3a10429c90e5ee8685de67f17aa0c8dce,"transferToContract(address _to, uint _value, bytes _data) private returns (bool success) ",type-3-2c
50,2afe869c26192133abd7244e5e47effc62005989e1eb2573dd72dc0af805883f,preSale3() public ,type-3-2c
51,7bd71ca1c720c4e0eb13220bb411155ade24f6235c0a401c7f181153baf3982e,EOSBetSlots() public ,type-3-2c
52,419d746343988e357082294484cf1d39b35b2d432c9f95fa1aedd028348f042c,"refundToOwner (uint256 amountOfEth, uint256 GR) onlyOwner ",type-3-2c
53,6b3de62e52c710379f995eb3604c5ece4d58c5d7a639712f885b177baa80ac51,"claimFor(CSCStorage storage self, address user) internal ",type-3-2c
54,880c89def18099d7238ba114f2791cb782e142463c11ee31e6d118566b448739,cancelSellingToken(address _tokenAddress)  public returns(bool _result),type-3-2c
55,8a37d90a9ae559a82a48b93d862e5b50699d7314db1f51ad7dd36719054efe4a,"_createItem23(string _name, address _owner, uint256 _price) private ",type-3-2c
56,f60968e39e61f0c643e3d9c0333392cb41a3f086468e3bd81f7e2f010a9e77a1,() payable ,type-3-2c
57,8551781c99e35cc58d8cea12a575d19f1afba46e17f6e2af0702c5b972f6b37d,"SwapToken(
        string _buyerTokenName,
        string _buyerSymbol,
        uint8 _buyerDecimals,
        string _issuerTokenName,
        string _issuerSymbol,
        uint8 _issuerDecimals,
        address _collectionFunds,
        uint _startBlock,
        uint _endBlock
        ) ",type-3-2c
58,74c3965c0a5e6a458418e7af7c435387b265642bbce2592557ee544ae02d29ef,"create(uint256 baseUnits)
        external
        whenNotPaused()
        requireNonZero(baseUnits)
        requireMultiple(baseUnits)
    ",type-3-2c
