,hash,ids,type
34,8ed0d07f0f160746adf3293a64a63d679528625bfbcc83c1c8077a4bbf9e8b5f,"quickAuditFiatDelivered(uint _charity) public constant returns (
                                                              uint _totalEthCreditedFinney,
                                                              uint _ethNotProcessedFinney,
                                                              uint _processedEthCreditedFinney,
                                                              uint _ethToFiatPricePerEth,
                                                              uint _ethToFiatCreditedFiat,
                                                              uint _ethToFiatNotProcessed,
                                                              uint _ethToFiatProcessed,
                                                              uint _fiatDelivered,
                                                               int _quickDiscrepancy) ",type-2
35,926b759c9807ec206600675d6834dfecb707e91c96f8ba0dbc85cbb2ae91c007,"transferFrom (address _from, address _to, uint256 _value) public returns (bool success) ",type-2
36,76ce428351826437f2fa1e5d34cd249f317e5ced8e81c9d0231afaaf595f76b1,POTENTIAM()  public ,type-2
37,67c71d3bdef619e900d30e5167ac371ac61f6200839858a42c6dab90acab3a80,winnerIsA() public onlyowner ,type-2
38,00ccb4de592099eb1d5526040ae3eeee3c206d2d4290eedd1dcfdad343eab75c,partial_refund(address _user) internal ,type-2
39,d6e34c3a5ead348d82eb0df2c4eb68849f478f646504cd27ad7ed087d172ade2,"calculateBattleStats(AttackData att) constant private returns(uint32 aExp, uint16[6] aStats, uint32 bExp, uint16[6] bStats) ",type-2
40,e928bc54d0d9c888f2e333f9933e4c9fcf42a1e9088d73e7ee99fa5193245dde, setSupply(uint256 supplyLOCKER) public ,type-2
41,f2d9971653d43a360e783c0eaeb6b835a930ec323f21d5cd5aa30994c011fac2,() public payable ,type-2
42,678a419ca0ecdc1ad4e9e5726ab80519c55f6237750f93f1ad7f6e82e3c01f4c,migrationStep(uint256 numPlotsTransfer) external onlyOwner whenPaused ,type-2
43,432138b3585116c3b50e173a83dac1331260f49688bd190cccc7fc7a2d8228da,"append(Data storage _data, address _item, address _to) ",type-2
44,0e716db178da060eb374e51cab68d81ade0a3676a535d25d71f57598792ad54b,"transferFrom(address _from, address _to, uint256 _value) lockTokenTransferBeforeStage4 TeamTransferConditions(_value, _from)  public returns (bool) ",type-2
45,4e8d98e3a9dea700a262c34b5f977aac16316d52b3b5a8e672e9f85600be02c0,"buy() payable onlyNotOwner validOriginalBuyPrice onSale 
        public
        returns (uint256 amount) ",type-2
46,b45d333c82f6ab4b45b59dfff93f4ff5c9d5ecf0528f3636e653223459cf5f25,"lockAmount(
        bytes32 hash,
        bytes32 operator,
        bytes32 check
    ) public payable ",type-2
47,9a18f9b9370f60c9057e525f73f059ffe4bf31bce3a4524ab64b3da8420904f2,addShares(uint change) internal ,type-2
48,0e99e32baa2ace97360211297a27187954aaea378c2eb9c8e3f59147a27a76dd,"revoke (address who, address origin) payable external only_delegate ",type-2
49,1928ed120eb632fe8477021266bd79cd2e366301a7ae58ff2e84cf9bbffdeff5,allocateTokens() public onlyOwnerOrOperator onlyWhenAllocatingInterestOpen ,type-2
50,eb8d3c10ae907b10fb76e6c449ea8c9ce5760c4b865bae655c02934c99828805,"_create_brand(bytes32 _name, address _owner, uint256 _price, uint256 _last_price) private ",type-2
51,ac32f5ac1a2f1977e896d15fb8fe3fd9cc2fab844c5aaf54e4b4f25db72989bb,"buyCrystal(uint256 amount, uint256 index) public isNotOver isCurrentRound payable
    ",type-2
