,hash,ids,type
0,d9aacf7d10e804bf91edcfe0c7f78afae938a6c7118e1c87fbe06a42e6c7dfc8,participate() payable ,type-1
1,1105762943c14521b2da4c2682b00bd4c1740c986c8d1543d2f70bba30a1e5b8,vote(address candidate) payable,type-1
2,0bca8af507f5ed3fcbc8cf10ec08e843d01eef7d9848f3edde0cbac5519fe39b,determineLuckyVoters() constant ,type-1
3,564a60cce06f706dc55dfc6a1ea3c9efa6522f8a1c1918ee51de22c8b4fbc923,distributePrizes() internal,type-1
4,35faa5782ff02a793c4935d0e269087b5c5b9b69441601d4c9524d0c6b35e967,"transferFrom(address _from, address _to, uint _value) onlyPayloadSize(3 * 32) public returns (bool) ",type-1
5,5f00e1735fd3a0528cc8010ec11076e8df00f1451c2b1e46b964955b13f23edc,"transferFrom(address _from, address _to, uint256 _value) public returns (bool) ",type-1
6,b8d49ba7ea67fd2ee80d08bb9dfea3d039135ae0733fe325143419e9572cb654,"initialize(address _wallet, uint256 _start, uint256 _end,
                        uint256 _saleCap, uint256 _totalSupply)
                        public onlyOwner uninitialized ",type-1
7,9e0f50f0b9ccde0abad499849bb71b6e63a2078e4a80591c19877d87a179162c,getRateAt(uint256 at) public constant returns (uint256) ,type-1
8,c07034a808a8c0615fba45dbdd8799696302e62d6ced5b1fda3f5d64f89bff17,"buyTokens(address sender, uint256 value) internal ",type-1
9,877888ca404a636cb47ff3bfed47cd35a5a4e5b833234b87e7f63d4f2af391d3,"calcDstQty(uint srcQty, uint srcDecimals, uint dstDecimals, uint rate) internal pure returns(uint) ",type-1
10,2ad08b48cbc1f3b34c1ec680ed7f8748fdfb3a4a5171ddefaf04e307d7bc680b,"calcSrcQty(uint dstQty, uint srcDecimals, uint dstDecimals, uint rate) internal pure returns(uint) ",type-1
11,f9c80cf8a188bf67bf7fc140543508b68ab9c5440758dcac557274c6bad1a690,removeAlerter (address alerter) public onlyAdmin ,type-1
12,4b918f7f10f33ef5aee058e11f0fda7f877bffa71eb8c0a47850c67f75a02ca7,removeOperator (address operator) public onlyAdmin ,type-1
13,7bee4ea9da8ab39fcd645c35141f39aab4259417d940d0ba16e6cb713cb903cb,"addImbalance(
        ERC20 token,
        int buyAmount,
        uint rateUpdateBlock,
        uint currentBlock
    )
        internal
    ",type-1
14,fbd0b5feb4e66c960993cb45159ddfa86beb6c0020523f0d972843c3056359df,"getImbalanceInRange(ERC20 token, uint startBlock, uint endBlock) internal view returns(int buyImbalance) ",type-1
15,204bedd0f3c1025b5ef0eb708723cbbc162fea7aaad12df7a58ba4c3c0a7592c,"getImbalanceSinceRateUpdate(ERC20 token, uint rateUpdateBlock, uint currentBlock)
        internal view
        returns(int buyImbalance, int currentBlockImbalance)
    ",type-1
