,hash,ids,type
36,4c617aef9f7f1af1f4d2ae7ddda94ff82904b9b4d3de80280a07632c6efa9d18,collect() public collectionsEnabled ,type-3-1
37,6f4a72b43b28aad6f0d2eea1ecfc611f69ce9d4d558f44d4bc8b0db9637e67e1,buyTokens(address beneficiary) public payable whenNotPaused ,type-3-1
38,544b2a4e41a5b214029989bba66cb6fc0539dff6addeeb902f59fc38ace42ea9,createTeamTokenByPercentage() onlyOwner internal ,type-3-1
39,379a79845fa59ea6ba70f9f94b5f3a7a39030a3ab45d58b21aaf4d7c259201e7,"CrowdsaleToken(string _name, string _symbol, uint _initialSupply, uint _decimals, bool _mintable) ",type-3-1
40,961bba388e1f2d5cf6cff75b52aa9719f1cd6c434361e4ff6a2db3e195802c8d,"buyImplementation(address buyerAddress, uint64 buyerId, uint maxAmount, uint8 v, bytes32 r, bytes32 s)
        private returns (bool)
    ",type-3-1
41,090fbb39a92073d074eae1732c901232aebc30d4f8f34ff74a36cbdb2dd0c07b,"rewardPreviousOwner (address owner, uint amount) internal ",type-3-1
42,2958a505c5e5ca7feeef809e1f1fd6a73262f54dd0eb201df516c305c06ecc94,"createBlock(
        uint x,
        uint y,
        bytes32 name,
        bytes32 description,
        bytes32 url,
        bytes32 imageURL
    ) public payable ",type-3-1
43,968c2a4c203982d20eb50e7b0a4c47570fe67a36c09c63ceb22ff9098d78ecc1,"buyBlock(
        uint x,
        uint y,
        bytes32 name,
        bytes32 description,
        bytes32 url,
        bytes32 imageURL
    ) public payable ",type-3-1
44,9b1aefe840b9d13acd268e4fffe2fd236081b6699456704645f1850c5cf12ebb,"transfer(address _to, uint256 _value) returns (bool success) ",type-3-1
45,672d222830a90e26f7b01ae269b30b51850fb71d17c8bbefaf6f22131e4dcf9c,"transferFrom(address _from, address _to, uint256 _value) returns (bool success) ",type-3-1
46,fd5edf04c01e02daaf3c989f79f2b7400bbfd29a89765225def1d689373971f7,lock() ,type-3-1
47,d493d79b4208be26507376249494e727beff3f2325f2fcec0d7ac55a12fe2413,reset() ,type-3-1
48,db74443bdf46f7e2e56412173d68f1b5295f81ce00b206007b1d2e13db34665d,"addAccount(address _addr, uint256 _pctx10, bool _evenStart) ",type-3-1
49,2c7c8e0ae2f90e8e1498a12474e0ecbcb6f91f90abb170abed917592f92e70cb,distribute() ,type-3-1
50,dfea82f3a44bf42de578dff2bba2550b2c1ef212f81d057126ca352578b50558,withdraw() ,type-3-1
51,0d987757afa03f9de72bdcaf783745a8e044adbd0f9a41a69e8813ee9c44b076,withdraw (address tokenAddr) public ,type-3-1
52,eda107bb5eba1a25e07cc804a350c0bf42d718690c518e678aab6c53fa457610,_checkCap (address addr) internal returns (uint) ,type-3-1
53,9859815571cc85a22f8ec4f2510320a74c831dba49a801aa084ce5ab5807d71c,"checkContributorBalance (address addr) view public returns (uint balance, uint cap, uint remaining) ",type-3-1
54,f95ab3c23c110dffe662ea09d50e3778964b84267b5baf36363175006dc94aae,"buyGifto()
        public
        payable
        onSale
        validValue
        validInvestor ",type-3-1
55,8ab36915afdebbd40f1243689453f04313498a8dbd31962e78d92723dfec02f6,"transfer(address _to, uint256 _amount)
        public 
        isTradable
        returns (bool) ",type-3-1
56,08f27ffa0de6982bf9082362649122ed5b544e335abbcf1629406286320972da,"transferFrom(
        address _from,
        address _to,
        uint256 _amount
    )
    public
    isTradable
    returns (bool success) ",type-3-1
57,9f7ebcd0421a141540bd8f6563100ba2e7cdee6bb2da3e33c6df9d6461f6cbc6,"removeOwner(address owner)
        public
        onlyWallet
        ownerExists(owner)
    ",type-3-1
58,66832ccbe7a26433f1830b5f7e3b02ec3fbc96d8c1746dc4a0884a404b9b111e,"replaceOwner(address owner, address newOwner)
        public
        onlyWallet
        ownerExists(owner)
        ownerDoesNotExist(newOwner)
    ",type-3-1
59,8691a7808de47d4fddf0921f20b9a8559c71d609fc84623f667e570161f26dc8,"executeTransaction(uint transactionId)
        public
        notExecuted(transactionId)
    ",type-3-1
60,dbfe451b4c67136e62e5b962d819e4013e85c69ce5c0c242b8d0324e5312badc,"getConfirmations(uint transactionId)
        public
        constant
        returns (address[] _confirmations)
    ",type-3-1
61,e0a12a13c250e30583d71767863ae9c2b004e0da99ef008b4873105c8dd8e8ce,"getTransactionIds(uint from, uint to, bool pending, bool executed)
        public
        constant
        returns (uint[] _transactionIds)
    ",type-3-1
62,6d85afd5d97a911cd7e71d7cfdcb7c20fd7a4ab62a47c5ae9b63124d16b744d2,"recover(bytes32 hash, bytes sig) public pure returns (address) ",type-3-1
63,36ac7a6bbbd08c4606b6048573e694488578ee2a3577318c2f5658104d7135bb,migrateHolders(uint256 count) public onlyOwner returns (bool) ,type-3-1
64,f60968e39e61f0c643e3d9c0333392cb41a3f086468e3bd81f7e2f010a9e77a1,() payable ,type-3-1
