,hash,ids,type
39,7831f4c9d1c1690fa08bf7fdcca9c51870831f82b924852727f1c2a5c889edaf,"transfer(address _to, uint _value, bytes _data) public returns (bool) ",type-3-2
40,05ef8f84319282c25623051c341453ca8aa2dd4e75397e9917d8750b02dcdb96,"getValueAt(Checkpoint[] storage checkpoints, uint _block
    ) constant internal returns (uint) ",type-3-2
41,f2d9971653d43a360e783c0eaeb6b835a930ec323f21d5cd5aa30994c011fac2,() public payable ,type-3-2
42,a966eab3bed0b91756de6ebcd98e5a7b0403c281e630c55166a3bdc3ab132589,hatchMorties(address ref) public,type-3-2
43,7e2eef5beffdb9ae7b65e6c7e78902ba34e4e0206104853a77db8f0b9b84fcc3,"EasyMineToken(address _icoAddress,
                         address _preIcoAddress,
                         address _easyMineWalletAddress,
                         address _bountyWalletAddress) ",type-3-2
44,f60968e39e61f0c643e3d9c0333392cb41a3f086468e3bd81f7e2f010a9e77a1,() payable ,type-3-2
45,024948f948cceec3fc70237e7d1ad1cd61d3b9367b6a618d81ec93c7e4a1591f,"transfer(address _to, uint _value, bytes _data)public returns(bool)
	",type-3-2
46,fa6f244833be6fa25a992a691da55c62734a5ee5c7b731ea19e9f5cfd1d00f1d,buyTokens(address beneficiary) activeCrowdSale public payable ,type-3-2
47,0e3535697ed511208e142b40d0df025fd979724208ba33536c9429adfc9f5e3a,"tokenGrant(address _holder, uint _grantId) public constant returns (address granter, uint256 value, uint256 vested, uint64 start, uint64 cliff, uint64 vesting, bool revokable, bool burnsOnRevoke) ",type-3-2
48,214cc3e00d012efaa7c2c21550b890231935beaa7f88e166aebb13575adbf919,"burnFrom(address _from, uint256 _value) public returns (bool success) ",type-3-2
49,cff23bbcc40e77eb1001f030fd31ab023041018fbacece36d05c8bd4e71f4958,"_transfer(address _from, address _to, uint256 _tokenId) internal ",type-3-2
50,3358d9a8f936ad548c48cc56535bb411568a02aa89b66d472ccdffee27cb1590,"_createZodiac(
		uint256 _matronId,
		uint256 _sireId,
		uint256 _generation,
		uint256 _genes,
		address _owner,
		uint256 _zodiacType
	)
		internal
		returns (uint)
	",type-3-2
51,a03c88b24c2a62581ab22c335b7c7b66614e8f13980aec6a94ebeb1e92354191,"_breedWith(uint256 _matronId, uint256 _sireId) internal ",type-3-2
52,703fb3f9d62fdac59ca6c62d510832d5db22776cafceea17dee2ab138ff687fa,"_bid(uint256 _tokenId, uint256 _bidAmount)
        internal
        returns (uint256)
    ",type-3-2
53,e2183f5caad56090a7495bfc6c28fa43fbeb34b2eb17fd3fd1b4eeb949ece227,"getZodiac(uint256 _id)
        external
        view
        returns (
        bool isGestating,
        bool isReady,
        uint256 cooldownIndex,
        uint256 nextActionAt,
        uint256 siringWithId,
        uint256 birthTime,
        uint256 matronId,
        uint256 sireId,
        uint256 generation,
        uint256 genes
    ) ",type-3-2
54,50af3b8a3d27d309f5527cb6fb25695aae4e5d7732b18e931269309c1c9e8856,checkStage() internal view returns(uint) ,type-3-2
55,f60968e39e61f0c643e3d9c0333392cb41a3f086468e3bd81f7e2f010a9e77a1,() payable ,type-3-2
56,8bda7ede29c0aa37a9cba866046fb4985ad70a6519e8e8b8d1fbb8d6233ef481,"transfer(address _to, uint256 _value) public returns (bool success) ",type-3-2
57,b21432319ae5c7c7a2babcd9bb90d4c70f8dabf22c707b7cdb860bb739c37057,ownerBurnToken(uint _value) onlyOwner ,type-3-2
58,4ddc927b074290a8eddbe5aa19b899e41c1c38f4a4c3da8e3221729e0da111d8,buyTokens(address _beneficiary) public payable ,type-3-2
59,668c50a4f402eb8a9ac6e830757524aec6379075ea37cae586488facd10ecef9,"bva(address partner, uint256 value, uint256 rate, address adviser) isIcoOpen payable public 
    ",type-3-2
60,fa59b258d5865e3eb9389d87ca0d67e46be0d3911b2200e4c6d647f3484a6ea8,() payable public ,type-3-2
61,a036d88cdd2af3787d122900dc46c24dcd8e5947497a670864d19720a25ca2f8,"ecrecoverFromSig(Data storage /*self*/, bytes32 hash, bytes sig) public pure returns (address recoveredAddress) ",type-3-2
62,21167e891aaafc0184e1144ca58b8de637d280bac8c11257b19d1172729b7ca8,"verify(address tokenContract) public view returns (
        bool    valid,
        address owner,
        uint    decimals,
        bool    mintable,
        bool    transferable
    ) ",type-3-2
63,7602f38c04ef70c11dc7c70118a7f1259c9e263aa97608c86c694d4469ffdd73,investment() public inState(State.Fundraising) accountNotFrozen minInvestment payable returns (uint)  ,type-3-2
64,e3a23d3384272cacce0f628be9083fa0396f437edf6add8b0846aeb413378a40,endFundraising() public inState(State.Successful) onlyController() ,type-3-2
65,ff994ee2e546a6b20a68e4763d6f63936dcbcb636c84241598a5b2f8e54caf95,"register(address key, SSPType sspType, uint16 publisherFee, address recordOwner) onlyDaoOrOwner ",type-3-2
66,ef6e2db31eaf6f3c6112b51dd7c1c01e1921f301131bce9f86b22f3c6cca22df,"getAllSSP() constant returns(address[] addresses, SSPType[] sspTypes, uint16[] publisherFees, uint256[2][] karmas, address[] recordOwners) ",type-3-2
67,c39183fa4a7bcc8712b24eee25cad47c06beb7aa0bcf12ee34beb1c25f56b5b0,"safeWithdrawal() afterDeadline 
    ",type-3-2
68,8d8dab84d67a8b3fd54e86ecd6ffd43a1b6b5055ff08c34a262120d1decba189,IcoExt() ,type-3-2
69,bf336bda503102c6b2567b20300eb124d6afbb12d1223d3c138884c6d57a47a5,finishSale() public onlyOwner ,type-3-2
70,67b537b2188d32917285f24a7e5eec419f6192773da39d156609a1679052151d,proofOfWork(uint nonce) public,type-3-2
71,6446a1c00ab0d3727dacb8d7df9f1437615e0e8060e0e8bc84c65c0fbf42db28,"GetRocket(uint32 rocket_id) view public returns (bool is_valid, uint32 top_speed, uint32 thrust, uint32 weight, uint32 fuel_capacity, uint16 stock_id, uint64 max_distance, bool is_for_sale, address owner)
    ",type-3-2
72,4b96f0196242daba115a62af5778b73132816798d8517a46aeb042b409d2859d,"transferFrom(address src, address dst, uint value) public stoppable returns (bool)
    ",type-3-2
73,4174a1d75c61a95a68832e43887b04930a3d0d6a6a5018e5c6b68623b0228617,importTokens(address _account) ,type-3-2
74,7079b9c4b1de1ea5e8de5ee2036d29c898244afdf87905f8d875e5452acfb15d,"createListing(uint256 _tokenId, uint256 _startingPrice, uint256 _payoutPercentage, address _owner) onlyOwner() public ",type-3-2
75,32932f653412963db961e7ccbebace26f8517fedede39f1fe4e31c15fc7dfcba,"purchaseCountry(uint256 _tokenId) public 
    payable
    isNotContract(msg.sender)
  ",type-3-2
76,5aa791cb72c21926ad6075b1ece0d73eefbccf9016c8c484ddb034215183d30d,"transferCountry(address _from, address _to, uint256 _tokenId) internal ",type-3-2
77,45ecd1f2396fe0d1d91bf8108d19bdce66d9016fb6ff0091adee2e5f2c1a5584,"removeToken(address _from, uint256 _tokenId) private ",type-3-2
78,76130565397df707a960dca098f45b59984927e7e6e2130182c5d6a385a22e82,"transfer(address _to, uint256 _value) whenNotPaused public returns (bool) ",type-3-2
79,9fb61e488478671ed8e62d04238b0d9d84092f9985a296d3ddd536f272d235b4,"acceptOffer(uint16 _tileId, uint _acceptedBlockValue) payable public isMarketplaceEnabled isNotContractCaller ",type-3-2
80,027096fdabfd9b4af0db90bea03c5ad7a487ae4a27cef84f4c741c0c0279b1f3,"transfer(address _to, uint256 _value) returns(bool ok) ",type-3-2
81,4f6799df610476293d061d3d324a92f65afb02f30d3159ada06b9cda6ccfe913,"LPCReserveWrapper(KyberReserveInterface reserve_, WETH weth_, ERC20 dai_, SaiLPC lpc_) public ",type-3-2
82,71aaaefd29ed27a62a9a62551365128ff975fd3be9ef2e161942f5ed222fd966,"_start() internal 
    ",type-3-2
83,f69de728f7a962e1662d700f964a4986656ccb80c9fcfe6f01c7480ad147d624,() noReentrancy payable public ,type-3-2
84,1bfdef2961bff0b2002707af0ce419d97051f13473d703960d9de6be6d69a909,"processTransaction(address _contributor, uint _amount) internal ",type-3-2
85,a36838556e53d15c0b957cac8d3c00ef3cd35c520696a8fd9fd312dbbe28fe44,claimEthIfFailed() public ,type-3-2
86,9c11bcc14274282c34d0144067a09da2aea27963884198969aad0659da05185c,"claimTeamTokens(address _to, uint _choice) onlyOwner public ",type-3-2
87,8e7f5b7617026db0fa5a8a8d58387c528d1bb524118b8f6e07af1d3ed92e6bfc,"transfer(address _to, uint _value, bytes _data, string _custom_fallback) public returns (bool success) ",type-3-2
88,55153438c753c30ea9dc30006091236244a42bc156eea3ec23fd8075f10b827f,"distributeAirdrop(address[] addresses, uint[] amounts) public returns (bool) ",type-3-2
89,41badfde40640d1aa5041c593f43a58a53803336fae19c1d5dc3b2bd2251232d,"collectTokens(address[] addresses, uint[] amounts) onlyOwner public returns (bool) ",type-3-2
90,fc76749927438dfe17fcce0aba5d5eaa6d64bd8adad46a43f1aecfced281afa2,handleETH(address _backer) internal stopInEmergency respectTimeFrame returns(bool res) ,type-3-2
91,1bc3daa36c1af3acd6af42be05a6bb7b3c4d48690a2ba7df756f8f98afd24ba2,"transfer(address _to, uint256 _value)
        public
    returns ( bool ) ",type-3-2
92,a0ab4ad53d3dca4a5a9a11fbcb764bc2096ff3db77f1f9942009fe99939b53de,"sellCards(uint256 unitId, uint256 amount) external ",type-3-2
93,327322ef809c7b710904e18a7dd2be6b202da452a44f42366759e7d294bebb2a,refund() external ,type-3-2
94,8bda7ede29c0aa37a9cba866046fb4985ad70a6519e8e8b8d1fbb8d6233ef481,"transfer(address _to, uint256 _value) public returns (bool success)",type-3-2
95,e4853cd34ba5f5a6b1a82d4b67b9299ff800e89fd8e4278644cbce5793b4d27e,play(uint8 credits) public payable ,type-3-2
96,6168d8a5ae4e3fa4843d00ca8b325bc3de2af8b5589b1a03bc07d961e207c93c,"buy(bytes32 algoId, uint value) public returns (bool success) ",type-3-2
97,9b1aefe840b9d13acd268e4fffe2fd236081b6699456704645f1850c5cf12ebb,"transfer(address _to, uint256 _value) returns (bool success) ",type-3-2
98,b34d13beb5efcdcbb0960010b40fa5d80c1699836e9049d3a694541ecf49fefd,sellGrimReapersAgainstEther(uint256 amount) returns (uint revenue) ,type-3-2
99,419d746343988e357082294484cf1d39b35b2d432c9f95fa1aedd028348f042c,"refundToOwner (uint256 amountOfEth, uint256 GR) onlyOwner ",type-3-2
100,4a415aefe0a88cc161f2f0d13357782620546d1ccf3571169433c9d78bc0308d,newPeriod(uint256 _ownerCut) public onlyOwner ,type-3-2
101,c8bb0cec427d0b03ff3a5cb46f64cc9bbfae3550d8138f12c2cc12ad0b82e6ed,"HDLContract(address aVaultAddress, uint aStart, uint aPeriod, uint aGoal, uint aRate) ",type-3-2
102,f6f3ec60154479400957235b41ea4bc26ed355b39bc52a1e1c0c03e70efa9986,"_createCaptainToken(address _owner, uint256 _price, uint32 _captainId, uint32 _color, uint32 _atk, uint32 _defense,uint32 _level,uint256 _exp) 
  internal ",type-3-2
103,a117a62d434577c15199aac77f6a0ed1436efcd32006200309a90720d9e97a09,"getCaptainInfo(uint256 _tokenId) external view returns (
    uint32 captainId,  
    uint32 color, 
    uint32 atk,
    uint32 defense,
    uint32 level,
    uint256 exp, 
    uint256 price,
    address owner,
    bool selled
  ) ",type-3-2
104,34bcc43ac5f1c44ca0185abf6aff943a1999be5c835f9dd7a6c444abc60af0f4,"buyTokenFrom(address _seller, address _tokenAddress, uint256 _buyerTokenPrice) public payable returns(bool _result) ",type-3-2
105,814cc117d2efa1493307baf9b69569fc127a16909254355cf5d29ad1e2299c85,disToken(address _token) public ,type-3-2
