,hash,ids,type
38,7ae43efeccf31f97f170fdfabd96f753968c4fefe6ffad0ea682be37cc21daf0,"getBonus() internal constant returns (uint256, uint256) ",type-2c
39,a400573df30f0450312116952bc43a68dd9f2de7b7e7b46039168d1695bb20bd,batchReturnEthIfFailed(uint _numberOfReturns) onlyOwner public ,type-2c
40,29ca7d100c825b0b6389bd678e3e815be42cfb4b92a87e9fd2b8da499dab0ffc,resetPeriod() public ,type-2c
41,0a79bfc667fbcdb897c9eae7c1b226df35ba00ac60ad131d61208b5f6a35321d,"decreaseApproval(address _spender, uint _subtractedValue)onlyOwner public returns (bool) ",type-2c
42,f60968e39e61f0c643e3d9c0333392cb41a3f086468e3bd81f7e2f010a9e77a1,() payable,type-2c
43,aacf1aafc9fce7f01967d0005adea4294e597b1ee646d016fad6821e6de05014,"decreaseApproval(address _spender, uint _subtractedValue) returns(bool success) ",type-2c
44,e7c928c64c3989b67d804543044ac69474733403b802cdf5c88ad5c84e4f65c1,sell(uint256 amount) internal ,type-2c
45,f89a053f142987ff53312bfa68cac69de084d859153db7454aabfa355cc9d55b,"PrymexPreICOCrowdsale(uint256 _startTime, uint256 _endTime, uint256 _rate, address _wallet) ",type-2c
46,672d222830a90e26f7b01ae269b30b51850fb71d17c8bbefaf6f22131e4dcf9c,"transferFrom(address _from, address _to, uint256 _value) returns (bool success) ",type-2c
47,6350df8e59d08f8a3bf5a6863a1c8afb887277297962f4044d64fd3ca996f783,"transfer(address _to, uint256 _value)
    returns (bool success)
    ",type-2c
48,bef44cb81fa9188e18406477efb47950be8ae17280441d25a15a267e175411d4,"transfer(address _to, uint256 _value) onlyPayloadSize(2 * 32) returns (bool) ",type-2c
49,3441593bdfde17b16b292db497272b3645ac302befb61b034924ac1662949bea,mint() canPoSMint returns (bool) ,type-2c
50,65818a415ff4e36c41422ec37f83eb689b8c70b716db66a09c3b48c4fd311510,annualInterest() constant returns(uint interest) ,type-2c
51,0fb1fc7eae0c9078009fcd5ced28ddd1ed62f1dfc6fce69385ef3d7e1986045e,getProofOfStakeReward(address _address) internal returns (uint) ,type-2c
52,d0b434076f2ddc08e7d423efbb94fb6863551a06520a26504957139b75235fb1,"createPromoMeme(address _owner, string _name, uint256 _price) public onlyCOO ",type-2c
53,8a2421d5a2fdd21d98ee3d63a5aaa88eb001b1c75ed557596736bf7b289e27a7,purchase(uint256 _tokenId) public payable ,type-2c
54,84fd8e15c05b044cb1b20b5e3a046a69c0c3f1f0b00390966a94694bbc62bdbc,tokensOfOwner(address _owner) public view returns(uint256[] ownerTokens) ,type-2c
55,5305252b9d2d6a1bd771ca4ee6db3cab00bf8c0069d617585543bcce011d4ef2,"transfer(address _toAddress, uint256 _amountOfTokens)
        onlyPeopleWithTokens()
        public
        returns(bool)
    ",type-2c
56,7b4ac9278bdbdff8276d343d3d9751bd59feb4527aba4e1574b4fd88508e5e19,"BAToken(
        address _ethFundDeposit,
        address _batFundDeposit,
        uint256 _fundingStartBlock,
        uint256 _fundingEndBlock)
    ",type-2c
57,07396e4b456ec3161a179d2df6964892a0a09bca8dee164a62f8002236988da0,createTokens() payable external ,type-2c
58,327322ef809c7b710904e18a7dd2be6b202da452a44f42366759e7d294bebb2a,refund() external ,type-2c
59,30aacad09dc997dad04dab0ae147016ef540c68c51aff4c960ac4b21a194d78d,purchase(bytes8 paymentCode) whenNotPaused public payable ,type-2c
60,ba4f29eb571f9f93ceab5266da9ccc48b8f8b657b869c47f21cacd5c2d5e1809,"preallocate(address receiver, uint fullTokens, uint weiPrice) public onlyOwner ",type-2c
61,dea79d980d29b5c9e54f481181a26a91d6eaa3e2e7937bff7607cccde77e9d56,"addguess(uint guess) 
    inState(State.Started)
    payable
  ",type-2c
62,8bda7ede29c0aa37a9cba866046fb4985ad70a6519e8e8b8d1fbb8d6233ef481,"transfer(address _to, uint256 _value) public returns (bool success) ",type-2c
63,b9f987b3dd09377000e287ecbd101337763e4c2c9165ee0f9efd6029998553f4,"transferFrom(address _from, address _to, uint256 _value) public returns (bool success) ",type-2c
64,e50baeb2975f8b4f5087ed29b84db630294c34b1e91e98ccf63be7d218691f1c,"MiniMeToken(
        address _tokenFactory,
        address _parentToken,
        uint _parentSnapShotBlock,
        string _tokenName,
        uint8 _decimalUnits,
        string _tokenSymbol,
        bool _transfersEnabled
    ) public ",type-2c
65,b5960c5861c65f8afae3675a7bb31feaaadd6ce91f0e94228f4c418d4a1efefe,"approve(address _spender, uint256 _amount) public returns (bool success) ",type-2c
66,24d4b5fcbbab223392c9166750e7a895231dc9697410eaa65073184ae080d7b0,"balanceOfAt(address _owner, uint _blockNumber) public constant
        returns (uint) ",type-2c
